title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
Inception,Action Sci-Fi Thriller,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","dream, subconscious, heist, simulation, architecture",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,1,1996,christophernolan,leonardodicaprio josephgordon-levitt elliotpage,dream subconscious heist simulation architecture,action sci-fi thriller,action sci-fi thriller christophernolan leonardodicaprio josephgordon-levitt elliotpage dream subconscious heist simulation architecture a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a c.e.o.
The Dark Knight,Action Crime Drama,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","superhero, joker, justice, chaos, corruption","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2,2005,christophernolan,christianbale heathledger aaroneckhart,superhero joker justice chaos corruption,action crime drama,"action crime drama christophernolan christianbale heathledger aaroneckhart superhero joker justice chaos corruption when the menace known as the joker wreaks havoc and chaos on the people of gotham, batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Interstellar,Adventure Drama Sci-Fi,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","space travel, black hole, wormhole, survival, time dilation",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival on a dying Earth.,3,1996,christophernolan,matthewmcconaughey annehathaway jessicachastain,spacetravel blackhole wormhole survival timedilation,adventure drama sci-fi,adventure drama sci-fi christophernolan matthewmcconaughey annehathaway jessicachastain spacetravel blackhole wormhole survival timedilation a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival on a dying earth.
The Matrix,Action Sci-Fi,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","simulation, artificial intelligence, cyberpunk, prophecy, hacker","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",4,1995,lanawachowski,keanureeves laurencefishburne carrie-annemoss,simulation artificialintelligence cyberpunk prophecy hacker,action sci-fi,"action sci-fi lanawachowski keanureeves laurencefishburne carrie-annemoss simulation artificialintelligence cyberpunk prophecy hacker when a beautiful stranger leads computer hacker neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Avatar,Action Adventure Fantasy Sci-Fi,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver","alien, moon, colonization, military, nature",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,5,1999,jamescameron,samworthington zoesaldana sigourneyweaver,alien moon colonization military nature,action adventure fantasy sci-fi,action adventure fantasy sci-fi jamescameron samworthington zoesaldana sigourneyweaver alien moon colonization military nature a paraplegic marine dispatched to the moon pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Titanic,Drama Romance,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane","shipwreck, love story, upper class, tragedy, historical events","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",6,2014,jamescameron,leonardodicaprio katewinslet billyzane,shipwreck lovestory upperclass tragedy historicalevents,drama romance,"drama romance jamescameron leonardodicaprio katewinslet billyzane shipwreck lovestory upperclass tragedy historicalevents a seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated r.m.s. titanic."
Gladiator,Action Adventure Drama,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","rome, gladiator, revenge, emperor, arena",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,7,1999,ridleyscott,russellcrowe joaquinphoenix connienielsen,rome gladiator revenge emperor arena,action adventure drama,action adventure drama ridleyscott russellcrowe joaquinphoenix connienielsen rome gladiator revenge emperor arena a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Blade Runner 2049,Action Drama Sci-Fi,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas","replicant, cyberpunk, artificial intelligence, detective, memory","A new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos.",8,1993,denisvilleneuve,ryangosling harrisonford anadearmas,replicant cyberpunk artificialintelligence detective memory,action drama sci-fi,"action drama sci-fi denisvilleneuve ryangosling harrisonford anadearmas replicant cyberpunk artificialintelligence detective memory a new blade runner, lapd officer k, unearths a long-buried secret that has the potential to plunge what's left of society into chaos."
Dune,Action Adventure Drama Sci-Fi,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson, Zendaya","desert, spice, prophecy, empire, space opera",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir is troubled by visions of a dark future.,9,1990,denisvilleneuve,timotheechalamet rebeccaferguson zendaya,desert spice prophecy empire spaceopera,action adventure drama sci-fi,action adventure drama sci-fi denisvilleneuve timotheechalamet rebeccaferguson zendaya desert spice prophecy empire spaceopera a noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir is troubled by visions of a dark future.
Pulp Fiction,Crime Drama,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","hitman, non-linear, boxing, drugs, crime anthology","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,2018,quentintarantino,johntravolta umathurman samuell.jackson,hitman non-linear boxing drugs crimeanthology,crime drama,"crime drama quentintarantino johntravolta umathurman samuell.jackson hitman non-linear boxing drugs crimeanthology the lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","magic ring, wizards, elves, quest, friendship",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,11,1990,peterjackson,elijahwood ianmckellen orlandobloom,magicring wizards elves quest friendship,adventure fantasy,adventure fantasy peterjackson elijahwood ianmckellen orlandobloom magicring wizards elves quest friendship a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron.
Jurassic Park,Action Adventure Sci-Fi,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum","dinosaurs, theme park, genetic engineering, escape, survival",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,12,1991,stevenspielberg,samneill lauradern jeffgoldblum,dinosaurs themepark geneticengineering escape survival,action adventure sci-fi,action adventure sci-fi stevenspielberg samneill lauradern jeffgoldblum dinosaurs themepark geneticengineering escape survival a pragmatic paleontologist touring an almost complete theme park on an island in central america is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
