title,genres,director,cast,keywords,description,movieId,release_year
Inception,Action|Sci-Fi|Thriller,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","dream, subconscious, heist, simulation, architecture",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,1,1996
The Dark Knight,Action|Crime|Drama,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","superhero, joker, justice, chaos, corruption","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2,2005
Interstellar,Adventure|Drama|Sci-Fi,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","space travel, black hole, wormhole, survival, time dilation",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival on a dying Earth.,3,1996
The Matrix,Action|Sci-Fi,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","simulation, artificial intelligence, cyberpunk, prophecy, hacker","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",4,1995
Avatar,Action|Adventure|Fantasy|Sci-Fi,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver","alien, moon, colonization, military, nature",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,5,1999
Titanic,Drama|Romance,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane","shipwreck, love story, upper class, tragedy, historical events","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",6,2014
Gladiator,Action|Adventure|Drama,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","rome, gladiator, revenge, emperor, arena",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,7,1999
Blade Runner 2049,Action|Drama|Sci-Fi,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas","replicant, cyberpunk, artificial intelligence, detective, memory","A new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos.",8,1993
Dune,Action|Adventure|Drama|Sci-Fi,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson, Zendaya","desert, spice, prophecy, empire, space opera",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir is troubled by visions of a dark future.,9,1990
Pulp Fiction,Crime|Drama,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","hitman, non-linear, boxing, drugs, crime anthology","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,2018
The Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","magic ring, wizards, elves, quest, friendship",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,11,1990
Jurassic Park,Action|Adventure|Sci-Fi,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum","dinosaurs, theme park, genetic engineering, escape, survival",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,12,1991
The Wolf of Wall Street,Biography|Comedy|Crime|Drama,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","finance, stock market, corruption, drugs, wall street","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",13,2022
Shutter Island,Mystery|Thriller,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley","mental asylum, detective, twist ending, conspiracy, trauma","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth.",14,2022
Seven,Crime|Mystery|Thriller,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow","serial killer, seven deadly sins, detective, rainy city, twist ending","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",15,2009
Fight Club,Drama,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter","insomnia, alter ego, anti-consumerism, secret society, violence",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,16,1993
The Shawshank Redemption,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","prison, prison break, hope, friendship, corruption","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",17,2023
Forrest Gump,Drama|Romance,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","historical events, simpleton, love, running, friendship","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",18,2015
Toy Story,Adventure|Comedy|Fantasy,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","toys, friendship, rivalry, childhood, animation",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,19,2000
The Avengers,Action|Sci-Fi,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson","superhero, team-up, alien invasion, shield, comic book",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,20,2013
Django Unchained,Drama|Western,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","slavery, bounty hunter, revenge, shootout, old west","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",21,1994
The Shining,Drama|Horror,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","haunted hotel, isolation, writer, madness, winter","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",22,2020
The Conjuring,Horror|Mystery|Thriller,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston","paranormal investigator, haunted house, demon, exorcism, true story",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,23,2014
Get Out,Horror|Mystery|Thriller,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","social satire, conspiracy, hypnosis, racism, escape","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception eventually reaches a boiling point.",24,1999
A Beautiful Mind,Biography|Drama,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly","schizophrenia, mathematician, codebreaking, love, Nobel prize","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",25,2000
The Lion King,Adventure|Drama|Fantasy,Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones","savannah, lion, uncle betrayal, coming of age, musical","Lion prince Simba and his father are targeted by his bitter uncle Scar, who wants to ascend the throne himself.",26,2014
Good Will Hunting,Drama|Romance,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck","genius, janitor, therapy, math, Boston, friendship","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist in order to find direction in his life.",27,1998
The Silence of the Lambs,Crime|Drama|Thriller,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","fbi agent, serial killer, cannibalism, prison interview, profiling","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",28,2008
Joker,Crime|Drama|Thriller,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","origin story, mental illness, social isolation, clown, rebellion","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime.",29,1998
The Truman Show,Comedy|Drama,Peter Weir,"Jim Carrey, Laura Linney, Ed Harris","reality tv, simulated town, paranoia, hidden cameras, escape",An insurance salesman discovers his whole life is actually a reality TV show watched by millions of viewers around the globe.,30,1999
The Last Paris,Adventure,George Lucas,"Johnny Depp, Emma Watson, Ian McKellen","journey, exploration, survival, quest","In this mysterious tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",31,1979
Secrets of the Revenge,Mystery|Action|Fantasy,Christopher Nolan,"Robert Downey Jr., Christian Bale, Jake Gyllenhaal","conspiracy, secret identity, puzzle, disappearance","In this spectacular tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",32,1992
The Last Empire,Adventure,Peter Jackson,"Orlando Bloom, Tom Hanks, Emma Watson","wilderness, survival, journey, quest","In this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",33,1996
Tales of Destiny,Fantasy|Comedy|Thriller,Chris Columbus,"Orlando Bloom, Johnny Depp, Viggo Mortensen","prophecy, mythology, alternate realm, dragons","In this breathtaking tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",34,2001
Chronicles of Algorithm,Adventure|Horror,Ridley Scott,"Ian McKellen, Johnny Depp, Tom Hanks","survival, journey, island, quest","In this futuristic tale, a main protagonist investigates a secret agent that threatens to change everything they know.",35,2016
The Paris Project,Sci-Fi,Lana Wachowski,"Zoe Saldana, Keanu Reeves, Matt Damon","space travel, artificial intelligence, alien, simulation","In this spectacular tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",36,2019
The Symphony Syndicate,Crime|Mystery|Thriller,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this gripping tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",37,2000
Curse of the Galaxies,Horror|Comedy|Drama,Jordan Peele,"Jamie Lee Curtis, Toni Collette, Lupita Nyong'o","curse, slasher, haunted house, zombie","In this mysterious tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",38,1980
Curse of the Haunting,Horror|Adventure,Ari Aster,"Jamie Lee Curtis, Patrick Wilson, Florence Pugh","slasher, possession, survival horror, curse","In this dangerous tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",39,1981
How to Wilderness,Comedy|Mystery,Judd Apatow,"Ben Stiller, Ryan Reynolds, Jim Carrey","high school, slapstick, coming of age, parody","In this unforgettable tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",40,1999
Tales of Destiny II,Fantasy,David Yates,"Daniel Radcliffe, Johnny Depp, Viggo Mortensen","dark lord, wizards, alternate realm, mythology","In this unforgettable tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",41,1991
The Deep Sea Heist,Action,James Cameron,"Leonardo DiCaprio, Scarlett Johansson, Robert Downey Jr.","car chase, fight, revenge, heist","In this gripping tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",42,1979
High School Night,Horror|Thriller,Ari Aster,"Vera Farmiga, Florence Pugh, Toni Collette","zombie, monster, slasher, ghost","In this unforgettable tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",43,2010
Tales of Shadows,Fantasy|Comedy,Peter Jackson,"Daniel Radcliffe, Orlando Bloom, Elijah Wood","mythology, dragons, prophecy, elves","In this gripping tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",44,2010
Chronicles of Galaxies,Adventure|Horror,Ridley Scott,"Emma Watson, Harrison Ford, Daniel Radcliffe","island, ancient, quest, exploration","In this haunting tale, a main protagonist battles their deepest fears that threatens to change everything they know.",45,1987
Chronicles of Algorithm II,Adventure,Ridley Scott,"Johnny Depp, Ian McKellen, Elijah Wood","quest, island, journey, exploration","In this futuristic tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",46,1992
The Last Time,Adventure|Thriller|Mystery,George Lucas,"Daniel Radcliffe, Sam Neill, Ian McKellen","exploration, survival, journey, island","In this gripping tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know.",47,2015
Curse of the Love,Horror|Mystery,Ari Aster,"Toni Collette, Lupita Nyong'o, Vera Farmiga","ghost, slasher, curse, zombie","In this haunting tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",48,2022
Beyond the Revenge,Sci-Fi|Drama|Action,James Cameron,"Keanu Reeves, Matt Damon, Sigourney Weaver","dystopia, future, time travel, simulation","In this mysterious tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",49,1990
Empire Night,Horror,Ari Aster,"Ethan Hawke, Jamie Lee Curtis, Lupita Nyong'o","ghost, survival horror, slasher, haunted house","In this haunting tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",50,1980
Chasing Empire,Comedy,Judd Apatow,"Will Ferrell, Seth Rogen, Ryan Reynolds","coming of age, slapstick, parody, high school","In this gripping tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",51,1975
Diary of a Time,Drama|Sci-Fi|Thriller,Frank Darabont,"Matthew McConaughey, Robert De Niro, Morgan Freeman","betrayal, mental illness, family struggle, historical events","In this unforgettable tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",52,1994
